Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
------------------------------------------------------------------------------
KXMIDTERMMOV                 3689    35.0    3.50  DEAD
KXMIDTERMVOTETURN            2463    35.0    3.50  DEAD
KXNASDAQ100U                  900   150.0   15.00  DEAD
KXARTISTSTREAMSY              843    40.0    4.00  DEAD
KXNFLWINSWEEK                 728    25.0    2.50  UNRESOLVED
KXHOUSERACE                   702    28.5    2.85  UNRESOLVED
KXNCAAFWINS                   483    85.0    8.50  DEAD
KXDJI                         420   100.0   10.00  DEAD
KXNFLWINS                     408    20.0    2.00  UNRESOLVED
KXDDR5MS                      390    45.0    4.50  DEAD
KXDDR5EMS                     373    45.0    4.50  DEAD
KXMLBHRR                      329    15.0    1.50  WORTH A FAIR VALUE
KXNFLTSPEC                    304   210.0   21.00  DEAD
KXINXU                        300   155.0   15.50  DEAD
KXMLSSCORE                    298    10.0    1.00  WORTH A FAIR VALUE
KXNBAWINS                     251    30.0    3.00  DEAD
KXVOTEPRIMARY                 233    30.0    3.00  DEAD
KXFEDFUNDSYEAR                210    20.0    2.00  UNRESOLVED
KXRT                          192    10.0    1.00  WORTH A FAIR VALUE
KXMLSTOTAL                    181    10.0    1.00  WORTH A FAIR VALUE
KXGOLFMAJOR                   171    40.0    4.00  DEAD
KXSVKCUPGAME                  165   390.0   39.00  DEAD
KXMARMADROUND                 162   335.0   33.50  DEAD
KXNFLSTAGEOFELIM              160    57.5    5.75  DEAD
KXMLSGAME                     156    15.0    1.50  WORTH A FAIR VALUE
KXUECLTOTAL                   144   375.0   37.50  DEAD
KXTITLEDTUESTOP               144   160.0   16.00  DEAD
KXNOMGDPGROWTH                143    30.0    3.00  DEAD
KXNFLSEASONRECYDS             143    60.0    6.00  DEAD
KXGDPYEAR                     141    10.0    1.00  WORTH A FAIR VALUE
KXLOLMAP                      140    25.0    2.50  UNRESOLVED
KXMLBF5TOTAL                  140    10.0    1.00  WORTH A FAIR VALUE
KXMLBDEBUT                    137    40.0    4.00  DEAD
KXH200MS                      136    20.0    2.00  UNRESOLVED
KXNCAAMBAPRANK                133    40.0    4.00  DEAD
KXCS2MAP                      132   282.5   28.25  DEAD
KXUSCPIYEAR                   130    67.5    6.75  DEAD
KXPERFORMVS                   126    15.0    1.50  WORTH A FAIR VALUE
KXWTI                         124    15.0    1.50  WORTH A FAIR VALUE
KXMLSSPREAD                   120    10.0    1.00  WORTH A FAIR VALUE
KXB200MS                      119    25.0    2.50  UNRESOLVED
KXH100MS                      115    10.0    1.00  WORTH A FAIR VALUE
KXROLEATEVENTCOACHELLA        114     5.0    0.50  WORTH A FAIR VALUE
KX1SONG                       113    15.0    1.50  WORTH A FAIR VALUE
KXNFLSEASONRSHTD              112   165.0   16.50  DEAD
KXLIGAMXSCORE                 111    15.0    1.50  WORTH A FAIR VALUE
KXSTATEBALLOTMEASURE          110     5.0    0.50  WORTH A FAIR VALUE
KXSVKCUPADVANCE               110   387.5   38.75  DEAD
KXGDPNOM                      109    50.0    5.00  DEAD
KX10SONG                      108    25.0    2.50  UNRESOLVED
KXJOINCLUB                    107    40.0    4.00  DEAD
KXNFLSEASONRECTD              106   130.0   13.00  DEAD
KXNFLSEASONREC                106   145.0   14.50  DEAD
KXMLBGG                       106   465.0   46.50  DEAD
KXRTX5090MS                   103     5.0    0.50  WORTH A FAIR VALUE
KX1ALBUM                      103    20.0    2.00  UNRESOLVED
KXBRASILEIROSCORE             102    20.0    2.00  UNRESOLVED
KXNCAAMBWINS                  100   482.5   48.25  DEAD
KXLOLGAME                      98   252.5   25.25  DEAD
KXNFLSEASONRSHYDS              97    95.0    9.50  DEAD
KXUECLSPREAD                   96   485.0   48.50  DEAD
KXFLPRIMARY                    94    20.0    2.00  UNRESOLVED
KXCS2GAME                      94    60.0    6.00  DEAD
KXMLBF5SPREAD                  94    10.0    1.00  WORTH A FAIR VALUE
KXMLSTEAMTOTAL                 92    15.0    1.50  WORTH A FAIR VALUE
KXNFLSEED                      91    60.0    6.00  DEAD
KX20SONG                       91    35.0    3.50  DEAD
KXDFBPOKALGAME                 90   380.0   38.00  DEAD
KXDFBPOKALTOTAL                90   480.0   48.00  DEAD
KXA100MS                       89    10.0    1.00  WORTH A FAIR VALUE
KXARGNACBGAME                  87   390.0   39.00  DEAD
KXFUNDRAISING                  85    25.0    2.50  UNRESOLVED
KXNEXTTEAMNBA                  83    15.0    1.50  WORTH A FAIR VALUE
KXRTX5090WS                    83     5.0    0.50  WORTH A FAIR VALUE
KXWTASETWINNER                 82    20.0    2.00  UNRESOLVED
KXMLBSEASONHR                  81    55.0    5.50  DEAD
KXSERIEATEAMPOINTS             80   475.0   47.50  DEAD
KXEPLTEAMPOINTS                80   475.0   47.50  DEAD
KXLALIGATEAMPOINTS             80   475.0   47.50  DEAD
KXNFLSEASONPASSYDS             80    70.0    7.00  DEAD
KXPERFORM                      79    40.0    4.00  DEAD
KXALBUMRELEASE                 78   215.0   21.50  DEAD
KXNBASTARTERS                  78    40.0    4.00  DEAD
KXVALORANTMAP                  78   280.0   28.00  DEAD
KXATPEXACTMATCH                78    35.0    3.50  DEAD
KXLIGAMXTOTAL                  77    10.0    1.00  WORTH A FAIR VALUE
KXWCQUAL                       76    50.0    5.00  DEAD
KXALBUMEQUIV                   76    15.0    1.50  WORTH A FAIR VALUE
KXMLBF7                        75   300.0   30.00  DEAD
KXB200WS                       74    10.0    1.00  WORTH A FAIR VALUE
KXATPSETWINNER                 74    20.0    2.00  UNRESOLVED
KXLIGUE1TEAMPOINTS             72   475.0   47.50  DEAD
KXBUNDESLIGATEAMPOINTS         72   475.0   47.50  DEAD
KXFED                          72    25.0    2.50  UNRESOLVED
KXUELTOTAL                     72    30.0    3.00  DEAD
KXUECLGAME                     72   375.0   37.50  DEAD
KXSERIECCUPTOTAL               72   480.0   48.00  DEAD
KXITFWMATCH                    72    85.0    8.50  DEAD
KXATPCHALLENGERMATCH           70    30.0    3.00  DEAD
KXLIGAMXGAME                   69    20.0    2.00  UNRESOLVED
KXLALIGAGAME                   69    15.0    1.50  WORTH A FAIR VALUE
KXMLBF5                        69    10.0    1.00  WORTH A FAIR VALUE
